Institute,Academic Program Name,quota,seat type,Gender,opening rank,closing rank
"Birla Institute of Technology, Mesra, Ranchi","Food Engineering and Technology (4 Years, Bachelor of Technology) ",HS ,OPEN ,Female-only (including Supernumerary) ,88813,93846
"Birla Institute of Technology, Mesra, Ranchi","Food Engineering and Technology (4 Years, Bachelor of Technology) ",HS ,EWS ,Gender-Neutral ,14255,15651
"Birla Institute of Technology, Mesra, Ranchi","Food Engineering and Technology (4 Years, Bachelor of Technology) ",HS ,SC ,Gender-Neutral ,17401,18833
"Birla Institute of Technology, Mesra, Ranchi","Food Engineering and Technology (4 Years, Bachelor of Technology) ",HS ,ST ,Gender-Neutral ,5888,10449
"Birla Institute of Technology, Mesra, Ranchi","Mathematics and Computing (5 Years, Integrated Master of Science) ",AI ,OPEN ,Gender-Neutral ,17984,25764
"Birla Institute of Technology, Mesra, Ranchi","Mathematics and Computing (5 Years, Integrated Master of Science) ",AI ,OPEN ,Female-only (including Supernumerary) ,25621,32937
"Birla Institute of Technology, Mesra, Ranchi","Mathematics and Computing (5 Years, Integrated Master of Science) ",AI ,OPEN (PwD) ,Gender-Neutral ,1769,1769
"Birla Institute of Technology, Mesra, Ranchi","Mathematics and Computing (5 Years, Integrated Master of Science) ",AI ,EWS ,Gender-Neutral ,4691,5429
"Birla Institute of Technology, Mesra, Ranchi","Mathematics and Computing (5 Years, Integrated Master of Science) ",AI ,OBC-NCL ,Gender-Neutral ,8678,12449
"Birla Institute of Technology, Mesra, Ranchi","Mathematics and Computing (5 Years, Integrated Master of Science) ",AI ,SC ,Gender-Neutral ,6718,8705
"Birla Institute of Technology, Mesra, Ranchi","Mathematics and Computing (5 Years, Integrated Master of Science) ",AI ,ST ,Gender-Neutral ,3955,4151
"Birla Institute of Technology, Mesra, Ranchi","Mathematics and Computing (5 Years, Integrated Master of Science) ",HS ,OPEN ,Gender-Neutral ,32648,59641
"Birla Institute of Technology, Mesra, Ranchi","Mathematics and Computing (5 Years, Integrated Master of Science) ",HS ,OPEN ,Female-only (including Supernumerary) ,51690,65932
"Birla Institute of Technology, Mesra, Ranchi","Mathematics and Computing (5 Years, Integrated Master of Science) ",HS ,EWS ,Gender-Neutral ,9993,10259
"Birla Institute of Technology, Mesra, Ranchi","Mathematics and Computing (5 Years, Integrated Master of Science) ",HS ,SC ,Gender-Neutral ,11042,12462
"Birla Institute of Technology, Mesra, Ranchi","Mathematics and Computing (5 Years, Integrated Master of Science) ",HS ,ST ,Gender-Neutral ,7861,13313
"Birla Institute of Technology, Mesra, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology) ",AI ,OPEN ,Gender-Neutral ,27508,37430
"Birla Institute of Technology, Mesra, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology) ",AI ,OPEN ,Female-only (including Supernumerary) ,43915,47534
"Birla Institute of Technology, Mesra, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology) ",AI ,OPEN (PwD) ,Gender-Neutral ,2740,2740
"Birla Institute of Technology, Mesra, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology) ",AI ,EWS ,Gender-Neutral ,6175,7193
